Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.66,2.37,2.53,2.64,2.66,2.53,2.1,1.8,1.81,1.98,2.08,2.18
Water requirement (mm/day),1.33,1.185,1.265,1.32,1.33,1.265,1.05,0.9,0.905,0.99,1.04,1.09
Water requirement litres/day/ha ,13300,11850,12650,13200,13300,12650,10500,9000,9050,9900,10400,10900
Water requirement litres/palm/day in an ha,93.00699301,82.86713287,88.46153846,92.30769231,93.00699301,88.46153846,73.42657343,62.93706294,63.28671329,69.23076923,72.72727273,76.22377622
Water requirement litres/palm/day in an ha at 70% field capacity,65.1048951,58.00699301,61.92307692,64.61538462,65.1048951,61.92307692,51.3986014,44.05594406,44.3006993,48.46153846,50.90909091,53.35664336
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
